Name,AUID,Coords,Const,Type,Period,Mag
"EG And","000-BBC-010","00 44 37.19 +40 40 45.7","And","ZAND+E","482.57","6.97 - 7.8 V"
"V0370 And","000-BCT-547","01 58 44.33 +45 26 06.9","And","SRB","119","6.85 - 8.05 V"
"tet Aps","000-BCT-582","14 05 20.10 -76 47 48.0","Aps","SRB","111.0","4.65 - 6.20 V"
"R Aqr","000-BCR-898","23 43 49.46 -15 17 04.2","Aqr","M+ZAND","387","5.2 - 12.4 V"
"R Aql","000-BCF-225","19 06 22.25 +08 13 48.0","Aql","M","270.5","5.5 - 12 V"
"UU Aur","000-BBL-525","06 36 32.84 +38 26 43.8","Aur","SRB","235","5.10 - 6.6 V"
"psi 1 Aur","000-BBL-224","06 24 53.90 +49 17 16.4","Aur","LC","--","4.54 - 5.7 V"
"R Boo","000-BBV-561","14 37 11.58 +26 44 11.7","Boo","M","223.4","6.2 - 13.1 V"
"RV Boo","000-BBV-580","14 39 15.86 +32 32 22.3","Boo","SRB","228","7.5 - 8.7 V"
"RW Boo","000-BBV-603","14 41 13.38 +31 34 19.7","Boo","SRB","209","7.5 - 8.6 V"
"RX Boo","000-BBV-376","14 24 11.63 +25 42 13.4","Boo","SRB","158","7.0 - 8.3 V"
"FG Boo","000-BCT-936","15 11 34.98 +49 54 10.9","Boo","SRB","700:","7.3 - 8.3 V"
"X Cnc","000-BBQ-052","08 55 22.88 +17 13 52.6","Cnc","SRB","180","5.69 - 6.94 V"
"RS Cnc","000-BBQ-327","09 10 38.80 +30 57 47.3","Cnc","SRB","242.2","5.33 - 6.94 V"
"RT Cnc","000-BBQ-129","08 58 16.00 +10 50 42.7","Cnc","SRB","90.04","7.05 - 8.1 V"
"V CVn","000-BBT-559","13 19 27.77 +45 31 37.7","CVn","SRA","191.89","6.52 - 8.56 V"
"Y CVn","000-BBT-191","12 45 07.83 +45 26 24.9","CVn","SRB","267.8","4.86 - 5.88 V"
"TU CVn","000-BBT-346","12 54 56.52 +47 11 48.2","CVn","SRB","44.2","5.50 - 6.2 V"
"W CMa","000-BBM-557","07 08 03.44 -11 55 23.8","CMa","SR","160","6.27 - 7.09 V"
"VY CMa","000-BBM-990","07 22 58.33 -25 46 03.2","CMa","LC","--","6.5 - 9.6 V"
"RT Cap","000-BCL-175","20 17 06.53 -21 19 04.5","Cap","SRB","422","6.8 - 8.0 V"
"R Car","000-BBQ-500","09 32 14.60 -62 47 20.0","Car","M","307.0","3.9 - 10.5 V"
"S Car","000-BBR-212","10 09 21.89 -61 32 56.4","Car","M","149.49","4.5 - 9.9 V"
"U Car","000-BBR-885","10 57 48.19 -59 43 55.9","Car","DCEP","38.829","5.74 - 6.96 V"
"AG Car","000-BBR-864","10 56 11.58 -60 27 12.8","Car","SDOR","371.4","5.7 - 8.3 V"
